Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
EC-2023-001034,7/24/2023,7/26/2023,First Class,C-65933,Sara Wilson,Home Office,United States,Dallas,Texas,South,P-038,Electronics,Accessories,Belt,2440.1,4,0.2,718.61
EC-2022-001035,6/15/2022,6/22/2022,First Class,C-67654,Maria Garcia,Home Office,United States,Houston,Texas,South,P-022,Furniture,Storage,Drawer Unit,2151.99,5,0.1,512.23
EC-2022-001036,11/19/2022,11/22/2022,Standard Class,C-18418,Michael Chen,Consumer,United States,San Diego,California,West,P-027,Office Supplies,Binders,Report Cover,45.67,4,0.3,-0.44
EC-2023-001037,5/2/2023,5/3/2023,Same Day,C-59857,Sara Wilson,Corporate,United States,Houston,Texas,South,P-037,Clothing,Jackets,Hoodie,480.02,5,0.3,26.81
EC-2023-001038,3/10/2023,3/17/2023,Standard Class,C-54057,Michael Chen,Home Office,United States,San Antonio,Texas,South,P-008,Electronics,Laptops,Dell Inspiron,1123.66,3,0.1,219.89
EC-2024-001039,6/28/2024,7/3/2024,Second Class,C-16590,Carlos Rivera,Corporate,United States,New York,New York,East,P-021,Furniture,Storage,Cabinet,494.6,4,0,-15.34
EC-2023-001040,7/21/2023,7/24/2023,First Class,C-12540,John Smith,Corporate,United States,Philadelphia,Pennsylvania,East,P-036,Clothing,Jackets,Windbreaker,466.08,4,0,140.04
EC-2024-001041,8/27/2024,8/28/2024,Standard Class,C-97747,Maria Garcia,Consumer,United States,New York,New York,East,P-026,Office Supplies,Binders,3-Ring Binder,339.7,5,0,41.3
EC-2023-001042,1/26/2023,1/28/2023,Second Class,C-50888,Michael Chen,Home Office,United States,Austin,Texas,South,P-022,Furniture,Storage,Drawer Unit,968.9,2,0,-23.96
EC-2024-001043,4/27/2024,5/3/2024,First Class,C-15383,Emily Davis,Consumer,United States,Houston,Texas,South,P-034,Clothing,Shoes,Running Shoes,648.95,5,0,187.46
EC-2023-001044,11/3/2023,11/9/2023,Same Day,C-70258,James Lee,Consumer,United States,Philadelphia,Pennsylvania,East,P-036,Clothing,Jackets,Windbreaker,113.41,1,0.1,38.36
EC-2024-001045,6/15/2024,6/22/2024,Same Day,C-21359,Carlos Rivera,Corporate,United States,San Diego,California,West,P-035,Clothing,Shoes,Casual Sneakers,369.0,5,0,-5.41
EC-2024-001046,3/13/2024,3/18/2024,Second Class,C-43862,Emily Davis,Corporate,United States,San Antonio,Texas,South,P-035,Clothing,Shoes,Casual Sneakers,245.19,3,0,48.12
EC-2023-001047,11/25/2023,11/27/2023,Same Day,C-74332,Sara Wilson,Consumer,United States,Los Angeles,California,West,P-028,Office Supplies,Art,Markers Set,58.3,2,0.3,11.24
EC-2022-001048,3/30/2022,4/3/2022,First Class,C-82140,Emily Davis,Corporate,United States,Houston,Texas,South,P-002,Electronics,Phones,Samsung A12,2024.75,5,0,359.7
EC-2022-001049,9/20/2022,9/23/2022,Standard Class,C-73464,Carlos Rivera,Consumer,United States,Houston,Texas,South,P-031,Office Supplies,Envelopes,Bubble Mailer,100.35,5,0.3,-1.06
EC-2022-001050,8/30/2022,9/1/2022,First Class,C-82529,Carlos Rivera,Consumer,United States,Philadelphia,Pennsylvania,East,P-023,Office Supplies,Paper,A4 Ream,30.3,5,0,-1.2
EC-2021-001051,1/26/2021,1/31/2021,Same Day,C-24953,Maria Garcia,Corporate,United States,Phoenix,Arizona,West,P-021,Furniture,Storage,Cabinet,618.08,2,0,77.72
EC-2024-001052,3/27/2024,4/2/2024,Standard Class,C-83147,Michael Chen,Consumer,United States,New York,New York,East,P-038,Clothing,Accessories,Belt,373.5,3,0,-39.01
EC-2023-001053,6/26/2023,6/29/2023,First Class,C-37235,Anna Brown,Corporate,United States,Austin,Texas,South,P-022,Furniture,Storage,Drawer Unit,300.55,1,0.2,-30.48
EC-2022-001054,5/7/2022,5/9/2022,Standard Class,C-14278,Anna Brown,Consumer,United States,San Diego,California,West,P-023,Office Supplies,Paper,A4 Ream,14.56,4,0.3,3.32
EC-2021-001055,5/26/2021,6/1/2021,Standard Class,C-28643,Maria Garcia,Corporate,United States,Houston,Texas,South,P-029,Office Supplies,Art,Pencil Set,184.45,5,0,45.06
EC-2024-001056,5/3/2024,5/9/2024,Same Day,C-75597,Sara Wilson,Corporate,United States,Austin,Texas,South,P-039,Electronics,Accessories,Wallet,300.87,3,0.3,51.37
EC-2023-001057,6/4/2023,6/10/2023,First Class,C-86955,John Smith,Home Office,United States,Philadelphia,Pennsylvania,East,P-032,Clothing,Shirts,Cotton T-Shirt,25.89,2,0.3,7.79
EC-2023-001058,8/22/2023,8/27/2023,Standard Class,C-71605,Emily Davis,Corporate,United States,Dallas,Texas,South,P-023,Office Supplies,Paper,A4 Ream,223.36,4,0.3,-19.72
EC-2024-001059,10/4/2024,10/5/2024,Same Day,C-14809,Sara Wilson,Corporate,United States,Chicago,Illinois,Central,P-037,Clothing,Jackets,Hoodie,228.17,3,0.3,76.11
EC-2022-001060,10/25/2022,10/26/2022,Second Class,C-77952,Emily Davis,Home Office,United States,San Antonio,Texas,South,P-008,Electronics,Laptops,Dell Inspiron,2444.62,5,0.1,-42.53
EC-2022-001061,2/21/2022,2/24/2022,First Class,C-89806,Anna Brown,Consumer,United States,San Diego,California,West,P-038,Clothing,Accessories,Belt,296.6,4,0,17.4
EC-2024-001062,2/6/2024,2/10/2024,Second Class,C-48254,Carlos Rivera,Consumer,United States,Los Angeles,California,West,P-019,Furniture,Bookcases,5-Shelf Bookcase,223.96,1,0.3,67.11
EC-2022-001063,5/15/2022,5/19/2022,Same Day,C-19150,Carlos Rivera,Consumer,United States,San Diego,California,West,P-039,Clothing,Accessories,Wallet,162.92,5,0.2,-4.46
EC-2021-001064,1/6/2021,1/9/2021,Same Day,C-82340,Michael Chen,Home Office,United States,Phoenix,Arizona,West,P-037,Clothing,Jackets,Hoodie,421.79,4,0.2,82.38
EC-2024-001065,11/29/2024,12/1/2024,Standard Class,C-59968,Michael Chen,Corporate,United States,Austin,Texas,South,P-036,Clothing,Jackets,Windbreaker,522.24,4,0,75.96
EC-2021-001066,9/16/2021,9/21/2021,Second Class,C-12011,James Lee,Corporate,United States,Austin,Texas,South,P-021,Furniture,Storage,Cabinet,2138.32,4,0,444.31
EC-2023-001067,8/20/2023,8/27/2023,Same Day,C-51505,Sara Wilson,Corporate,United States,Phoenix,Arizona,West,P-034,Clothing,Shoes,Running Shoes,215.73,3,0.3,66.4
EC-2024-001068,7/16/2024,7/22/2024,Second Class,C-68153,James Lee,Consumer,United States,Phoenix,Arizona,West,P-001,Electronics,Phones,Nokia 3310,262.84,1,0.3,-20.59
EC-2022-001069,10/27/2022,11/3/2022,First Class,C-99364,James Lee,Corporate,United States,New York,New York,East,P-023,Office Supplies,Paper,A4 Ream,66.22,2,0,13.86
EC-2024-001070,6/2/2024,6/9/2024,Standard Class,C-43289,Sara Wilson,Home Office,United States,San Antonio,Texas,South,P-016,Furniture,Tables,Dining Table,1693.95,5,0,202.69
EC-2022-001071,8/13/2022,8/19/2022,Second Class,C-42780,Sara Wilson,Consumer,United States,San Diego,California,West,P-024,Office Supplies,Paper,Notebook,91.51,3,0.2,12.79
EC-2023-001072,9/17/2023,9/18/2023,First Class,C-61879,Carlos Rivera,Corporate,United States,Houston,Texas,South,P-027,Office Supplies,Binders,Report Cover,144.33,3,0,49.56
EC-2023-001073,10/15/2023,10/22/2023,First Class,C-96400,James Lee,Consumer,United States,Phoenix,Arizona,West,P-003,Electronics,Phones,iPhone SE,342.8,2,0.2,42.91
EC-2023-001074,6/22/2023,6/23/2023,Standard Class,C-36318,James Lee,Corporate,United States,Austin,Texas,South,P-002,Electronics,Phones,Samsung A12,352.8,3,0,-9.68
EC-2022-001075,6/11/2022,6/18/2022,First Class,C-98647,Michael Chen,Corporate,United States,Dallas,Texas,South,P-028,Office Supplies,Art,Markers Set,261.28,4,0,-2.41
EC-2021-001076,1/29/2021,2/1/2021,Same Day,C-58689,Maria Garcia,Consumer,United States,San Diego,California,West,P-024,Office Supplies,Paper,Notebook,78.34,3,0.2,12.87
EC-2024-001077,6/22/2024,6/27/2024,Standard Class,C-25292,James Lee,Home Office,United States,Philadelphia,Pennsylvania,East,P-021,Furniture,Storage,Cabinet,1166.98,4,0.3,164.14
EC-2023-001078,10/6/2023,10/7/2023,Standard Class,C-80804,Michael Chen,Consumer,United States,Los Angeles,California,West,P-002,Electronics,Phones,Samsung A12,717.11,3,0.3,240.1
EC-2023-001079,9/30/2023,10/5/2023,Second Class,C-57537,Maria Garcia,Corporate,United States,San Antonio,Texas,South,P-021,Furniture,Storage,Cabinet,790.11,2,0.1,-14.49
EC-2023-001080,3/27/2023,3/30/2023,Same Day,C-16629,Emily Davis,Consumer,United States,Houston,Texas,South,P-028,Office Supplies,Art,Markers Set,16.63,2,0.3,-1.21
EC-2022-001081,2/25/2022,2/26/2022,Standard Class,C-10371,Carlos Rivera,Consumer,United States,San Diego,California,West,P-018,Furniture,Tables,Desk,1005.58,2,0,283.89
EC-2022-001082,5/29/2022,6/5/2022,Second Class,C-32838,Carlos Rivera,Consumer,United States,Chicago,Illinois,Central,P-018,Furniture,Tables,Desk,445.62,3,0,-30.3
EC-2023-001083,12/14/2023,12/15/2023,Same Day,C-39038,John Smith,Corporate,United States,Los Angeles,California,West,P-039,Electronics,Accessories,Wallet,2534.04,5,0.2,209.61
EC-2021-001084,5/5/2021,5/9/2021,Second Class,C-89730,James Lee,Corporate,United States,San Antonio,Texas,South,P-030,Office Supplies,Envelopes,Letter Envelopes,167.08,4,0,53.43
EC-2024-001085,7/2/2024,7/8/2024,First Class,C-89354,Michael Chen,Home Office,United States,Austin,Texas,South,P-039,Electronics,Accessories,Wallet,1342.72,5,0.2,185.93
EC-2024-001086,8/26/2024,9/2/2024,Standard Class,C-62262,Michael Chen,Home Office,United States,San Diego,California,West,P-003,Electronics,Phones,iPhone SE,670.59,2,0.1,101.71
EC-2022-001087,10/3/2022,10/9/2022,Standard Class,C-22219,Michael Chen,Corporate,United States,Phoenix,Arizona,West,P-008,Electronics,Laptops,Dell Inspiron,2260.48,4,0,-52.47
EC-2024-001088,2/14/2024,2/15/2024,First Class,C-16743,Carlos Rivera,Home Office,United States,Austin,Texas,South,P-007,Electronics,Laptops,HP 15,2210.04,4,0,689.71
EC-2024-001089,3/29/2024,4/3/2024,Same Day,C-25058,Carlos Rivera,Consumer,United States,Houston,Texas,South,P-028,Office Supplies,Art,Markers Set,21.82,1,0,6.62
EC-2024-001090,6/1/2024,6/7/2024,Standard Class,C-28776,Michael Chen,Consumer,United States,Phoenix,Arizona,West,P-021,Furniture,Storage,Cabinet,666.3,3,0,-10.35
EC-2021-001091,7/7/2021,7/13/2021,Same Day,C-52517,Maria Garcia,Consumer,United States,San Diego,California,West,P-038,Electronics,Accessories,Belt,1094.61,3,0,176.25
EC-2024-001092,6/19/2024,6/20/2024,Same Day,C-38255,Maria Garcia,Corporate,United States,Los Angeles,California,West,P-038,Electronics,Accessories,Belt,1748.64,4,0.2,319.32
EC-2022-001093,8/4/2022,8/10/2022,First Class,C-49507,Anna Brown,Corporate,United States,Austin,Texas,South,P-030,Office Supplies,Envelopes,Letter Envelopes,26.91,4,0.2,-0.18
EC-2022-001094,11/3/2022,11/4/2022,Same Day,C-83233,Emily Davis,Corporate,United States,New York,New York,East,P-020,Furniture,Bookcases,3-Shelf Bookcase,548.35,4,0.2,143.17
EC-2021-001095,3/28/2021,4/1/2021,Second Class,C-93904,Michael Chen,Corporate,United States,New York,New York,East,P-012,Electronics,Tablets,Fire HD,3134.61,5,0.1,695.95
EC-2021-001096,2/12/2021,2/15/2021,Same Day,C-41891,Michael Chen,Home Office,United States,Chicago,Illinois,Central,P-024,Office Supplies,Paper,Notebook,202.2,3,0,-10.98
EC-2022-001097,9/28/2022,10/4/2022,First Class,C-76840,Anna Brown,Consumer,United States,Philadelphia,Pennsylvania,East,P-033,Clothing,Shirts,Polo Shirt,96.14,1,0.2,23.07
EC-2022-001098,4/29/2022,4/30/2022,Standard Class,C-74764,Sara Wilson,Corporate,United States,Chicago,Illinois,Central,P-028,Office Supplies,Art,Markers Set,25.21,2,0.3,1.83
EC-2021-001099,11/6/2021,11/10/2021,Same Day,C-19724,Carlos Rivera,Corporate,United States,Los Angeles,California,West,P-037,Clothing,Jackets,Hoodie,240.58,3,0.2,16.08
EC-2021-001100,4/27/2021,4/30/2021,Second Class,C-15376,Sara Wilson,Consumer,United States,Phoenix,Arizona,West,P-038,Clothing,Accessories,Belt,441.13,5,0.1,83.29
EC-2023-001101,10/24/2023,10/26/2023,Second Class,C-32617,John Smith,Corporate,United States,New York,New York,East,P-020,Furniture,Bookcases,3-Shelf Bookcase,1053.57,3,0.3,79.33
EC-2023-001102,12/10/2023,12/15/2023,First Class,C-98984,John Smith,Consumer,United States,Austin,Texas,South,P-022,Furniture,Storage,Drawer Unit,739.48,3,0.1,127.66
EC-2021-001103,7/13/2021,7/18/2021,First Class,C-96980,James Lee,Corporate,United States,San Antonio,Texas,South,P-024,Office Supplies,Paper,Notebook,296.4,5,0,44.46
EC-2021-001104,9/22/2021,9/27/2021,Same Day,C-99838,Maria Garcia,Corporate,United States,Los Angeles,California,West,P-029,Office Supplies,Art,Pencil Set,159.78,3,0,40.11
EC-2023-001105,1/13/2023,1/16/2023,First Class,C-30308,Maria Garcia,Consumer,United States,Chicago,Illinois,Central,P-036,Clothing,Jackets,Windbreaker,571.76,4,0,-6.74
EC-2024-001106,1/11/2024,1/18/2024,First Class,C-31266,James Lee,Consumer,United States,San Diego,California,West,P-025,Office Supplies,Paper,Sticky Notes,353.65,5,0,-8.1
EC-2023-001107,4/22/2023,4/25/2023,First Class,C-71474,Anna Brown,Corporate,United States,Houston,Texas,South,P-021,Furniture,Storage,Cabinet,1884.96,4,0,396.22
EC-2022-001108,8/1/2022,8/8/2022,Same Day,C-16839,Sara Wilson,Home Office,United States,San Antonio,Texas,South,P-031,Office Supplies,Envelopes,Bubble Mailer,123.95,2,0.2,11.34
EC-2023-001109,11/23/2023,11/30/2023,Second Class,C-67340,Maria Garcia,Corporate,United States,Los Angeles,California,West,P-025,Office Supplies,Paper,Sticky Notes,168.02,3,0.1,-5.4
EC-2021-001110,2/24/2021,2/28/2021,First Class,C-22987,Emily Davis,Corporate,United States,New York,New York,East,P-022,Furniture,Storage,Drawer Unit,202.6,1,0,23.78
EC-2022-001111,8/11/2022,8/18/2022,Standard Class,C-12490,Carlos Rivera,Home Office,United States,Dallas,Texas,South,P-016,Furniture,Tables,Dining Table,1708.56,4,0.1,-120.25
EC-2024-001112,5/31/2024,6/5/2024,First Class,C-91633,Sara Wilson,Consumer,United States,San Antonio,Texas,South,P-018,Furniture,Tables,Desk,203.57,1,0,24.74
EC-2024-001113,5/7/2024,5/12/2024,Standard Class,C-41531,Michael Chen,Home Office,United States,New York,New York,East,P-002,Electronics,Phones,Samsung A12,1590.06,3,0.1,80.25
EC-2023-001114,1/9/2023,1/10/2023,Second Class,C-43246,John Smith,Home Office,United States,San Diego,California,West,P-015,Furniture,Chairs,Stool,1132.16,4,0,272.51
EC-2022-001115,5/9/2022,5/15/2022,First Class,C-32949,Sara Wilson,Home Office,United States,Los Angeles,California,West,P-024,Office Supplies,Paper,Notebook,36.02,3,0.2,5.46
EC-2021-001116,5/10/2021,5/16/2021,First Class,C-77552,Michael Chen,Consumer,United States,Dallas,Texas,South,P-034,Clothing,Shoes,Running Shoes,84.42,2,0,12.21
EC-2024-001117,8/17/2024,8/19/2024,Second Class,C-67272,Michael Chen,Corporate,United States,Phoenix,Arizona,West,P-036,Clothing,Jackets,Windbreaker,395.64,3,0,34.56
EC-2022-001118,1/18/2022,1/22/2022,First Class,C-81496,Carlos Rivera,Corporate,United States,Dallas,Texas,South,P-039,Clothing,Accessories,Wallet,492.6,4,0,-8.83
EC-2022-001119,11/3/2022,11/9/2022,Same Day,C-68606,John Smith,Corporate,United States,Phoenix,Arizona,West,P-023,Office Supplies,Paper,A4 Ream,200.8,4,0,51.59
EC-2024-001120,8/2/2024,8/9/2024,Same Day,C-98878,Sara Wilson,Consumer,United States,New York,New York,East,P-031,Office Supplies,Envelopes,Bubble Mailer,64.5,2,0,5.99
EC-2022-001121,4/29/2022,5/6/2022,Same Day,C-58623,Emily Davis,Corporate,United States,Philadelphia,Pennsylvania,East,P-038,Electronics,Accessories,Belt,609.68,1,0.2,58.55
EC-2023-001122,12/21/2023,12/24/2023,First Class,C-77861,Michael Chen,Corporate,United States,San Antonio,Texas,South,P-032,Clothing,Shirts,Cotton T-Shirt,48.7,1,0,13.18
EC-2024-001123,12/12/2024,12/16/2024,First Class,C-69250,James Lee,Home Office,United States,Houston,Texas,South,P-008,Electronics,Laptops,Dell Inspiron,2281.96,4,0,-59.42
EC-2024-001124,9/29/2024,10/2/2024,First Class,C-93584,James Lee,Home Office,United States,Los Angeles,California,West,P-033,Clothing,Shirts,Polo Shirt,189.46,2,0.3,49.8
EC-2022-001125,2/16/2022,2/23/2022,Same Day,C-27009,Maria Garcia,Consumer,United States,Chicago,Illinois,Central,P-026,Office Supplies,Binders,3-Ring Binder,27.88,5,0.2,4.48
EC-2023-001126,9/8/2023,9/13/2023,Second Class,C-99143,Emily Davis,Corporate,United States,San Antonio,Texas,South,P-008,Electronics,Laptops,Dell Inspiron,302.4,3,0.3,21.85
EC-2023-001127,6/6/2023,6/11/2023,Standard Class,C-55353,Carlos Rivera,Consumer,United States,New York,New York,East,P-016,Furniture,Tables,Dining Table,476.28,2,0,-15.74
EC-2024-001128,7/24/2024,7/29/2024,First Class,C-86106,James Lee,Consumer,United States,Phoenix,Arizona,West,P-007,Electronics,Laptops,HP 15,408.66,1,0.2,99.02
EC-2021-001129,2/28/2021,3/1/2021,First Class,C-75278,Carlos Rivera,Home Office,United States,New York,New York,East,P-019,Furniture,Bookcases,5-Shelf Bookcase,1883.65,5,0.1,-133.04
EC-2024-001130,11/3/2024,11/7/2024,Second Class,C-36741,Emily Davis,Corporate,United States,Phoenix,Arizona,West,P-030,Office Supplies,Envelopes,Letter Envelopes,101.97,2,0.1,17.81
EC-2022-001131,12/9/2022,12/13/2022,Second Class,C-28465,Maria Garcia,Corporate,United States,Chicago,Illinois,Central,P-020,Furniture,Bookcases,3-Shelf Bookcase,983.76,4,0,-12.81
EC-2024-001132,6/14/2024,6/18/2024,First Class,C-77466,Sara Wilson,Consumer,United States,Houston,Texas,South,P-008,Electronics,Laptops,Dell Inspiron,2250.93,3,0,627.87
EC-2021-001133,2/17/2021,2/18/2021,Same Day,C-46877,Sara Wilson,Home Office,United States,San Antonio,Texas,South,P-037,Clothing,Jackets,Hoodie,232.8,2,0.2,-10.89
EC-2021-001134,8/9/2021,8/13/2021,First Class,C-83638,Anna Brown,Corporate,United States,Chicago,Illinois,Central,P-036,Clothing,Jackets,Windbreaker,354.36,3,0,60.3
EC-2023-001135,3/3/2023,3/8/2023,First Class,C-22672,Michael Chen,Home Office,United States,Dallas,Texas,South,P-028,Office Supplies,Art,Markers Set,234.15,5,0.3,-5.46
EC-2021-001136,10/23/2021,10/25/2021,Same Day,C-72094,Sara Wilson,Home Office,United States,Austin,Texas,South,P-029,Office Supplies,Art,Pencil Set,42.51,1,0,3.87
EC-2024-001137,6/9/2024,6/12/2024,First Class,C-83783,Carlos Rivera,Corporate,United States,Chicago,Illinois,Central,P-017,Furniture,Tables,Coffee Table,1554.96,5,0.2,326.08
EC-2022-001138,11/10/2022,11/16/2022,First Class,C-85821,Anna Brown,Corporate,United States,Los Angeles,California,West,P-033,Clothing,Shirts,Polo Shirt,98.05,1,0.2,18.86
EC-2023-001139,12/10/2023,12/16/2023,Standard Class,C-24404,Anna Brown,Corporate,United States,Austin,Texas,South,P-010,Electronics,Tablets,iPad Mini,1332.5,2,0,295.51
EC-2023-001140,5/8/2023,5/10/2023,Standard Class,C-18163,James Lee,Home Office,United States,San Antonio,Texas,South,P-011,Electronics,Tablets,Samsung Tab,1610.01,5,0.1,502.07
EC-2023-001141,12/13/2023,12/17/2023,Same Day,C-99226,Carlos Rivera,Consumer,United States,Philadelphia,Pennsylvania,East,P-020,Furniture,Bookcases,3-Shelf Bookcase,1330.32,3,0.2,207.91
EC-2022-001142,7/26/2022,7/31/2022,First Class,C-72888,Emily Davis,Consumer,United States,Phoenix,Arizona,West,P-034,Clothing,Shoes,Running Shoes,166.75,2,0.3,43.6
EC-2024-001143,3/20/2024,3/26/2024,Same Day,C-20358,Emily Davis,Corporate,United States,San Diego,California,West,P-028,Office Supplies,Art,Markers Set,132.76,2,0,8.31
EC-2022-001144,3/15/2022,3/17/2022,First Class,C-16653,Anna Brown,Corporate,United States,San Diego,California,West,P-037,Clothing,Jackets,Hoodie,117.35,5,0.3,-2.65
EC-2023-001145,4/27/2023,4/30/2023,Standard Class,C-72580,Anna Brown,Consumer,United States,Dallas,Texas,South,P-013,Furniture,Chairs,Office Chair,413.45,5,0,71.14
